xji,yji,thetaji,vj,wj,trueXji,trueYji,trueThetaji
-0.813623,-2.63241,6.02811,0.3,0.05,-0.77425,-2.6552,6.03378
-0.817445,-2.63355,6.02761,0.3,0.05,-0.778682,-2.65683,6.03341
-0.821327,-2.63485,6.02711,0.3,0.05,-0.785483,-2.65918,6.03277
-0.829254,-2.63774,6.02611,0.3,0.05,-0.788,-2.65987,6.03246
-0.833318,-2.63945,6.02561,0.3,0.05,-0.797866,-2.66131,6.03096
-0.837339,-2.64098,6.02511,0.3,0.05,-0.803338,-2.66257,6.03023
-0.845456,-2.64406,6.02411,0.3,0.05,-0.806031,-2.66319,6.02986
-0.84966,-2.64597,6.02361,0.3,0.05,-0.811399,-2.66442,6.02912
-0.853628,-2.6471,6.02311,0.3,0.05,-0.814139,-2.66505,6.02875
-0.85756,-2.64807,6.02261,0.3,0.05,-0.820413,-2.66739,6.02861
-0.861428,-2.64881,6.02211,0.3,0.05,-0.812802,-2.67203,6.031
-0.869177,-2.65026,6.0211,0.3,0.05,-0.802574,-2.67594,6.03358
-0.872963,-2.65068,6.0206,0.3,0.05,-0.820724,-2.67382,6.03018
-0.876601,-2.65063,6.0201,0.3,0.05,-0.843389,-2.67169,6.02552
-0.884509,-2.65239,6.0191,0.3,0.05,-0.82065,-2.67887,6.03109
-0.888711,-2.65396,6.0186,0.3,0.05,-0.838529,-2.67674,6.02744
-0.892914,-2.65548,6.0181,0.3,0.05,-0.858927,-2.67526,6.02391
-0.900972,-2.65736,6.0171,0.3,0.05,-0.834554,-2.68288,6.03001
-0.90507,-2.65845,6.0166,0.3,0.05,-0.85335,-2.68054,6.02627
-0.909377,-2.6601,6.0161,0.3,0.05,-0.873458,-2.67893,6.02237
-0.917844,-2.66263,6.01509,0.3,0.05,-0.883891,-2.67976,6.02087
-0.926168,-2.665,6.0141,0.3,0.05,-0.886616,-2.6802,6.02052
-0.930816,-2.66736,6.01361,0.3,0.05,-0.892423,-2.68113,6.01976
-0.935601,-2.67003,6.01311,0.3,0.05,-0.895202,-2.68158,6.01938
-0.940431,-2.67273,6.01261,0.3,0.05,-0.89962,-2.68286,6.01901
-0.945041,-2.6745,6.0121,0.3,0.05,-0.901202,-2.68368,6.01919
-0.949184,-2.67534,6.01161,0.3,0.05,-0.907,-2.68458,6.01853
-0.953448,-2.67625,6.01112,0.3,0.05,-0.909533,-2.68505,6.01826
-0.957686,-2.67685,6.01061,0.3,0.05,-0.914854,-2.68602,6.01761
-0.961911,-2.6776,6.01011,0.3,0.05,-0.917615,-2.68648,6.01713
-0.966131,-2.67851,6.00962,0.3,0.05,-0.924053,-2.68704,6.01641
-0.970405,-2.67933,6.00913,0.3,0.05,-0.927667,-2.68715,6.01577
-0.974663,-2.68006,6.00863,0.3,0.05,-0.936295,-2.68828,6.01468
-0.979112,-2.68107,6.00812,0.3,0.05,-0.940731,-2.68948,6.01418
-0.987479,-2.68235,6.00714,0.3,0.05,-0.942806,-2.6901,6.0143
-0.991556,-2.68247,6.00664,0.3,0.05,-0.950938,-2.69132,6.01353
-0.995886,-2.68303,6.00613,0.3,0.05,-0.956354,-2.69213,6.01292
-1.00445,-2.68463,6.00514,0.3,0.05,-0.964665,-2.69324,6.01195
-1.01313,-2.68617,6.00415,0.3,0.05,-0.967857,-2.69338,6.0115
-1.01763,-2.68724,6.00365,0.3,0.05,-0.974819,-2.69361,6.0104
-1.02214,-2.68826,6.00316,0.3,0.05,-0.977621,-2.69389,6.01005
-1.02638,-2.68853,6.00266,0.3,0.05,-0.982077,-2.69497,6.00956
-1.03065,-2.68889,6.00216,0.3,0.05,-0.984112,-2.69555,6.00947
-1.03513,-2.68976,6.00167,0.3,0.05,-0.992436,-2.69651,6.00886
-1.03947,-2.6902,6.00117,0.3,0.05,-0.984909,-2.7008,6.01114
